OVERLAPS 0
(34, 0) (0, 8750.0, 9160.0, 8879.0)
(34, 1) (-1, 4900.0, 7200.0, 4968.2)
(34, 2) (-1, 4870.0, 7470.0, 4968.2)
(35, 0) (0, 8210.0, 8760.0, 8485.0)
(36, 0) (0, 3880.0, 4360.0, 4120.0)
(36, 1) (1, 4140.0, 4940.0, 4934.0)
(36, 2) (1, 2310.0, 3610.0, 3323.0)
(36, 3) (1, 6690.0, 7390.0, 7287.0)
(36, 4) (1, 4370.0, 5270.0, 5155.0)
(37, 0) (0, 3100.0, 4220.0, 3660.0)
(37, 1) (1, 4140.0, 4940.0, 4915.0)
(37, 2) (-1, 11600.0, 12800.0, 11673.0)
(37, 3) (0, 9750.0, 10250.0, 10107.0)
(37, 4) (0, 5540.0, 6840.0, 5552.0)
(38, 0) (0, 5850.0, 6640.0, 6255.0)
(38, 1) (-1, 11300.0, 12800.0, 11366.0)
(38, 2) (-1, 9460.0, 10560.0, 9526.0)
(38, 3) (-1, 6690.0, 7390.0, 6756.0)
(38, 4) (-1, 3630.0, 3950.0, 3679.5)
(39, 0) (0, 4418.0, 4722.0, 4570.0)
(39, 1) (-1, 7120.0, 7720.0, 7156.0)
(39, 2) (1, 200.0, 1800.0, 1764.0)
(40, 0) (2, 7760.0, 9090.0, 9006.0)
(40, 1) (-1, 4580.0, 5960.0, 5174.0)
(40, 2) (-1, 4870.0, 7470.0, 5174.0)
(40, 3) (-1, 7740.0, 9140.0, 7927.5)
(40, 4) (-1, 8210.0, 9140.0, 8346.5)
(41, 0) (0, 10680.0, 10710.0, 10689.8)
(41, 1) (0, 4970.0, 5500.0, 5145.0)
(41, 2) (0, 3330.0, 3670.0, 3463.0)
(42, 0) (0, 4970.0, 5140.0, 5054.0)
(42, 1) (-1, 11380.0, 13580.0, 12241.0)
(42, 2) (-1, 12580.0, 13580.0, 12913.5)
(43, 0) (0, 9340.0, 9440.0, 9376.0)
(43, 1) (0, 11380.0, 13580.0, 12437.0)
(43, 2) (1, 200.0, 2700.0, 1043.5)
(43, 3) (1, 8210.0, 10710.0, 10283.0)
(43, 4) (1, 200.0, 2700.0, 1043.5)
(44, 0) (0, 10930.0, 11730.0, 11330.0)
(44, 1) (-1, 2960.0, 4660.0, 3086.8)
(44, 2) (1, 200.0, 1200.0, 1073.2)
(45, 0) (0, 8780.0, 9230.0, 9005.0)
(45, 1) (-1, 7990.0, 9090.0, 8056.0)
(45, 2) (-1, 1820.0, 2200.0, 1886.0)
(45, 3) (-1, 5520.0, 6020.0, 5569.5)
(45, 4) (-1, 11300.0, 12800.0, 11366.0)
(46, 0) (0, 4220.0, 4860.0, 4540.0)
(46, 1) (-1, 8260.0, 9560.0, 8759.2)
(46, 2) (0, 8210.0, 10710.0, 8513.2)
(46, 3) (0, 2660.0, 4860.0, 2865.8)
(46, 4) (1, 200.0, 1200.0, 1186.5)
(47, 0) (0, 4609.0, 4841.0, 4790.2)
(47, 1) (1, 200.0, 1800.0, 1709.0)
